City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Bhindar,24.5,74.1833,77.07,21,0,4.72,clear sky
143,Vigrestad,58.5667,5.7,46.08,60,100,28.52,overcast clouds
144,Sambava,-14.2667,50.1667,77.0,82,100,11.5,overcast clouds
145,Mecca,21.4267,39.8261,72.34,58,4,8.32,clear sky
146,Dingle,10.9995,122.6711,76.57,91,19,5.32,few clouds
147,Lima,-12.0432,-77.0282,75.38,84,0,9.22,clear sky
148,Zapolyarnyy,69.4154,30.8136,29.48,96,100,6.15,overcast clouds
149,Coffs Harbour,-30.3,153.1333,62.56,94,14,6.91,few clouds
150,Baykit,61.67,96.37,-18.62,100,63,2.93,broken clouds
151,Acajutla,13.5928,-89.8275,90.03,44,12,9.78,few clouds
152,Lahat,-3.8,103.5333,73.53,99,100,2.82,moderate rain
153,Imperia,43.9667,7.7833,43.0,69,100,9.33,light rain
154,Evensk,61.95,159.2333,5.85,80,6,8.68,clear sky
155,San Carlos Del Zulia,9.0,-71.9135,82.4,70,79,6.4,broken clouds
156,Boguchany,58.3814,97.4531,-18.09,100,60,2.15,broken clouds
157,Chipiona,36.7366,-6.437,61.3,82,0,5.75,clear sky
158,Luganville,-15.5333,167.1667,78.55,85,19,4.07,few clouds
159,Jiayuguan,39.8167,98.3,47.61,32,100,4.56,overcast clouds
160,Casas Grandes,30.3667,-107.95,66.43,7,0,7.81,clear sky
161,Ajaccio,42.0,8.9167,51.78,67,100,2.3,overcast clouds
162,Palmeiras De Goias,-16.805,-49.9258,80.76,69,33,2.89,scattered clouds
163,Khuzhir,53.1939,107.3397,0.91,85,11,4.56,few clouds
164,Pandan,14.0453,124.1694,77.76,89,83,7.49,broken clouds
165,Iracoubo,5.4802,-53.2011,78.4,90,100,11.72,heavy intensity rain
166,Anaco,9.4389,-64.4728,88.48,40,100,8.37,overcast clouds
167,Kidal,18.4411,1.4078,81.63,8,0,10.83,clear sky
168,Tevaitoa,-16.7833,-151.5,81.23,74,85,9.46,overcast clouds
169,Qasigiannguit,68.8193,-51.1922,7.05,87,100,4.72,overcast clouds
170,Sept-Iles,50.2001,-66.3821,20.05,52,40,19.57,scattered clouds
171,Isangel,-19.55,169.2667,77.63,81,10,3.96,clear sky
172,Batangafo,7.3008,18.2833,86.58,31,96,1.74,overcast clouds
173,Pokaran,26.9167,71.9167,84.43,17,0,8.43,clear sky
174,Nicoya,10.1483,-85.452,96.04,30,5,11.86,clear sky
175,Santa Ines,-3.6667,-45.38,83.73,80,35,4.09,scattered clouds
176,Smiths Falls,44.9001,-76.0161,28.65,48,100,13.76,overcast clouds
177,Raton,36.9034,-104.4391,63.05,20,0,17.27,clear sky
178,Golden,39.7555,-105.2211,61.02,29,0,1.01,clear sky
179,Prince George,53.9166,-122.753,39.29,73,75,5.75,broken clouds
180,Sault Sainte Marie,46.5168,-84.3333,27.16,76,100,5.75,overcast clouds
181,Chifeng,42.2683,118.9636,35.47,65,100,3.06,overcast clouds
182,Rio Gallegos,-51.6226,-69.2181,57.25,21,20,43.73,few clouds
183,Keffi,8.8486,7.8736,88.32,35,41,5.03,scattered clouds
184,Lucapa,-8.4192,20.7447,64.63,92,97,1.36,overcast clouds
185,Rio Gallegos,-51.6226,-69.2181,57.25,21,20,43.73,few clouds
186,Ikwiriri,-7.9562,38.9716,73.72,88,100,3.67,overcast clouds
187,Aitape,-3.1374,142.3475,79.09,86,100,5.73,overcast clouds
188,Domoni,-12.2569,44.5319,79.95,85,92,6.08,overcast clouds
189,Nalut,30.3333,10.85,63.03,20,33,8.43,scattered clouds
190,Guanica,17.9716,-66.908,87.98,63,37,5.99,scattered clouds
191,Bozoum,6.3193,16.3799,83.84,23,82,1.83,broken clouds
192,Fargo,46.8772,-96.7898,25.99,73,0,11.5,clear sky
193,Vieques,18.425,-65.8329,85.66,69,40,19.57,scattered clouds
194,Athabasca,54.7169,-113.2854,12.61,86,100,10.13,overcast clouds
195,Dingle,10.9995,122.6711,76.57,91,19,5.32,few clouds
196,Sehithwa,-20.4667,22.7167,77.85,52,86,4.94,overcast clouds
197,Yarada,17.65,83.2667,73.72,78,20,2.3,mist
198,Bisho,-32.8472,27.4422,64.38,92,100,3.38,light rain
199,Qasigiannguit,68.8193,-51.1922,7.05,87,100,4.72,overcast clouds
200,Liverpool,53.4106,-2.9779,49.6,78,40,6.91,scattered clouds
201,Kangaatsiaq,68.3065,-53.4641,1.18,94,100,4.16,light snow
202,Puerto Salgar,5.463,-74.6544,86.38,63,99,4.97,overcast clouds
203,Orsha,54.5153,30.4053,23.36,95,45,5.59,scattered clouds
204,Chicama,-7.8447,-79.1469,73.94,54,92,9.89,overcast clouds
205,Verkhniy Baskunchak,48.2256,46.7217,18.5,83,14,7.38,few clouds
206,Talcahuano,-36.7167,-73.1167,74.88,50,0,8.05,clear sky
207,Nikolayevsk-Na-Amure,53.1406,140.73,5.25,100,99,1.1,overcast clouds
208,Jijiga,9.35,42.8,66.0,65,9,8.14,clear sky
209,Vila Do Maio,15.1333,-23.2167,74.19,75,3,20.15,clear sky
