City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,Champasak,14.75,106.0,76.66,54,61,3.13,LA,2022-03-13 17:49:36
255,Impfondo,1.6381,18.0667,73.0,86,98,3.13,CG,2022-03-13 17:49:37
256,Joaquim Nabuco,-8.6244,-35.5333,87.87,51,100,12.33,BR,2022-03-13 17:49:37
257,Cannes,43.55,7.0167,53.6,72,100,6.91,FR,2022-03-13 17:49:37
258,Andra,62.5147,65.8878,5.54,95,100,7.85,RU,2022-03-13 17:49:38
259,San Juan Del Sur,11.2529,-85.8705,86.22,58,20,9.22,NI,2022-03-13 17:49:38
260,Airai,-8.9266,125.4092,60.31,94,71,2.26,TL,2022-03-13 17:49:39
261,Wahpeton,46.2652,-96.6059,32.72,80,75,11.5,US,2022-03-13 17:49:39
262,Rio Grande,-32.035,-52.0986,71.71,63,96,8.32,BR,2022-03-13 17:39:48
263,Kamaishi,39.2667,141.8833,45.32,96,100,2.82,JP,2022-03-13 17:49:40
264,Viesca,25.35,-102.8,67.86,23,42,1.07,MX,2022-03-13 17:49:40
265,Te Anau,-45.4167,167.7167,49.53,91,16,0.85,NZ,2022-03-13 17:49:41
266,Vannes,47.8333,-2.5,48.81,83,70,9.28,FR,2022-03-13 17:49:41
267,Benguela,-12.5763,13.4055,79.57,77,100,9.46,AO,2022-03-13 17:49:41
268,Bethel,41.3712,-73.414,34.36,49,20,17.27,US,2022-03-13 17:47:28
269,Kavaratti,10.5669,72.642,83.07,72,10,8.55,IN,2022-03-13 17:49:42
270,Rio Verde De Mato Grosso,-18.9181,-54.8442,83.48,64,98,5.57,BR,2022-03-13 17:46:26
271,Shimoda,34.6667,138.95,62.1,85,65,23.67,JP,2022-03-13 17:49:43
272,Fairbanks,64.8378,-147.7164,-7.6,54,0,6.91,US,2022-03-13 17:48:07
273,Ancud,-41.8697,-73.8203,72.23,57,90,5.3,CL,2022-03-13 17:49:43
274,Inuvik,68.3499,-133.7218,-10.44,77,20,3.44,CA,2022-03-13 17:49:44
275,Sabang,5.8933,95.3214,82.51,73,15,1.01,ID,2022-03-13 17:49:44
276,Rawson,-43.3002,-65.1023,80.15,22,13,16.08,AR,2022-03-13 17:49:44
277,Malanje,-9.5402,16.341,65.59,96,95,4.97,AO,2022-03-13 17:49:45
278,Kaitangata,-46.2817,169.8464,49.55,95,18,3.6,NZ,2022-03-13 17:49:45
279,Dhidhdhoo,6.8833,73.1,82.78,70,63,2.73,MV,2022-03-13 17:49:17
280,Qingdao,36.0986,120.3719,44.2,100,69,6.71,CN,2022-03-13 17:49:46
281,Manacapuru,-3.2997,-60.6206,84.24,76,100,2.17,BR,2022-03-13 17:49:47
282,Donskoye,45.4552,41.9741,28.53,73,90,6.4,RU,2022-03-13 17:49:47
283,Moerai,-22.4333,-151.3333,80.04,74,100,13.73,PF,2022-03-13 17:49:47
284,Cooma,-36.2333,149.1333,49.77,100,100,5.75,AU,2022-03-13 17:49:48
285,Komsomolskiy,40.4272,71.7189,54.32,82,40,4.61,UZ,2022-03-13 17:41:51
286,Singaraja,-8.112,115.0882,79.92,83,99,2.39,ID,2022-03-13 17:42:26
287,Victoria,22.2855,114.1577,75.18,89,2,5.99,HK,2022-03-13 17:49:49
288,Alice Springs,-23.7,133.8833,71.15,28,4,6.91,AU,2022-03-13 17:40:40
289,Richards Bay,-28.783,32.0377,77.99,80,0,13.94,ZA,2022-03-13 17:41:49
290,Dingle,10.9995,122.6711,76.95,91,45,5.23,PH,2022-03-13 17:40:01
291,Nastola,60.95,25.9333,28.99,93,95,4.65,FI,2022-03-13 17:49:49
292,Tsiroanomandidy,-18.7667,46.0333,70.29,79,89,2.01,MG,2022-03-13 17:49:50
293,Paamiut,61.994,-49.6678,11.44,79,100,14.27,GL,2022-03-13 17:36:51
294,Iquique,-20.2208,-70.1431,75.24,75,7,8.46,CL,2022-03-13 17:49:20
